(0270, 95.7, 3.7)
(0271, 95.7, 3.7)
(0272, 95.7, 3.7)
(0273, 95.7, 3.7)
(0274, 95.7, 3.7)
(0275, 95.7, 3.7)
(0276, 95.7, 3.7)
(0277, 95.7, 3.7)
(0391, 101.8, 1.6)
(0392, 101.8, 1.6)
(0393, 101.8, 1.6)
(0394, 101.8, 1.6)
(0395, 101.5, 1.6)
(0396, 101.5, 1.6)
(0397, 101.5, 1.6)
(0398, 101.5, 1.6)
(0399, 101.5, 1.6)
(0400, 101.5, 1.6)
(0401, 101.2, 1.6)
(0402, 101.2, 1.6)
(0403, 101.2, 1.6)
(0404, 101.2, 1.6)
(0405, 101.2, 1.6)
(0406, 101.2, 1.6)
(0407, 101.2, 1.6)
(0408, 101.2, 1.6)
(0409, 90.1, 3.7)
(0409, 100.8, 1.6)
(0410, 90.1, 3.7)
(0410, 100.8, 1.6)
(0411, 90.1, 3.7)
(0411, 100.8, 1.6)
(0412, 90.1, 3.7)
(0412, 100.8, 1.6)
(0413, 100.4, 1.6)
(0414, 100.4, 1.6)
(0415, 100.4, 1.6)
(0416, 100.4, 1.6)
(0417, 100.2, 1.6)
(0418, 100.2, 1.6)
(0419, 100.2, 1.6)
(0420, 100.2, 1.6)
(0421, 100.2, 1.6)
(0422, 100.2, 1.6)
(0423, 100.2, 1.6)
(0424, 100.0, 1.6)
(0425, 100.0, 1.6)
(0426, 100.0, 1.6)
(0427, 100.0, 1.6)
(0428, 100.0, 1.6)
(0429, 100.0, 1.6)
(0430, 89.7, 3.7)
(0430, 99.5, 1.6)
(0431, 89.7, 3.7)
(0431, 99.5, 1.6)
(0432, 89.7, 3.7)
(0432, 99.5, 1.6)
(0433, 89.7, 3.7)
(0433, 99.5, 1.6)
(0434, 89.6, 3.7)
(0435, 89.6, 3.7)
(0436, 89.6, 3.7)
(0437, 89.6, 3.7)
(0438, 89.5, 3.7)
(0438, 98.9, 1.6)
(0439, 89.5, 3.7)
(0439, 98.9, 1.6)
(0440, 89.5, 3.7)
(0440, 98.9, 1.6)
(0441, 89.5, 3.7)
(0441, 98.9, 1.6)
(0442, 89.5, 3.7)
(0442, 98.9, 1.6)
(0443, 89.5, 3.7)
(0443, 98.9, 1.6)
(0444, 98.7, 1.6)
(0445, 98.7, 1.6)
(0446, 98.7, 1.6)
(0447, 98.7, 1.6)
(0448, 98.7, 1.6)
(0449, 98.7, 1.6)
(0450, 89.2, 3.7)
(0450, 98.3, 1.6)
(0451, 89.2, 3.7)
(0451, 98.3, 1.6)
(0452, 89.2, 3.7)
